division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
120,2004.084961,2004.665771,Y,15-49,DHS,MW,0.125,0.129,0.254,NA,0.205128428,N,NA,N,,N,NA,None,None,N,NA,N,0.005285041,0.004926559,0.005712904,0.04931122,0.046634246,0.035750666,1786,Y_884
854,2003.413696,2003.912354,Y,15-49,DHS,MW,0.087662704,0.050127463,NA,NA,0.298314345,N,NA,N,,N,NA,None,None,N,NA,N,0.005591599,0.00383012,0.006673281,0.070624293,0.081420636,0.032437786,1787,Y_885
686,1986.246582,1986.578125,Y,15-49,DHS,MW,0.023781213,0.088882283,NA,NA,0.374,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1794,Y_892
686,1997,1997.32605,Y,15-49,DHS,MW,0.081266507,0.048095962,NA,NA,0.349858082,N,NA,N,,N,NA,None,None,N,NA,N,0.007157434,0.004029943,0.007769649,0.097404794,0.090560318,0.035036272,1795,Y_893
120,1991.246582,1991.745239,Y,15-49,DHS,MW,0.043,0.118,0.161,NA,0.223499568,N,NA,N,,N,NA,None,None,N,NA,N,0.004665233,0.009427907,0.010192651,0.11986843,0.093861424,0.067718447,1798,Y_896
524,2001,2001.493164,Y,15-49,DHS,MW,0.353914031,0.039381404,NA,NA,0.277553026,N,NA,N,,N,NA,None,None,N,NA,N,0.011376285,0.002959274,0.008035374,0.051353248,0.08303229,0.034274976,1800,Y_898
524,1996,1996.49585,Y,15-49,DHS,MW,0.260165215,0.024705496,NA,NA,0.323501363,N,NA,N,,N,NA,None,None,N,NA,N,0.012198495,0.002457094,0.008405684,0.064516799,0.106629251,0.032515113,1801,Y_899
800,1988.668457,1989.158936,Y,15-49,DHS,MW,0.025145237,0.023623564,NA,0.023623564,NA,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1804,Y_902
50,2004,2004.413696,Y,15-49,DHS,MW,0.47288898,0.10777585,NA,NA,0.15193747,N,NA,N,,N,NA,None,None,N,NA,N,0.009003107,0.003976173,0.005327416,0.03910264,0.045699295,0.040191497,1813,Y_908
50,1993.832886,1994.243896,Y,15-49,DHS,MW,0.362077118,0.083603397,NA,NA,0.217389289,N,NA,N,,N,NA,None,None,N,NA,N,0.007708367,0.003513402,0.005197233,0.034590835,0.047791774,0.035639194,1814,Y_909
